date,bulletin_no,currency_code,currency_unit,forex_buying,forex_selling
2026-04-24,2026/78,QAR,1,12.2350,12.3951
2026-04-24,2026/78,RON,1,10.2414,10.3754
2026-04-24,2026/78,RUB,1,0.58900,0.59670
2026-04-24,2026/78,SAR,1,11.9587,11.9802
2026-04-24,2026/78,SEK,1,4.8243,4.8743
2026-04-24,2026/78,USD,1,44.8541,44.9349
2026-04-27,2026/79,AED,1,12.1661,12.3253
2026-04-27,2026/79,AUD,1,32.1957,32.4057
2026-04-27,2026/79,AZN,1,26.2867,26.6306
2026-04-27,2026/79,CAD,1,32.9434,33.0920
2026-04-27,2026/79,CHF,1,57.1569,57.5239
2026-04-27,2026/79,CNY,1,6.5484,6.6341
2026-04-27,2026/79,DKK,1,7.0502,7.0849
2026-04-27,2026/79,EUR,1,52.7680,52.8631
2026-04-27,2026/79,GBP,1,60.7928,61.1098
2026-04-27,2026/79,JPY,100,28.1598,28.3462
2026-04-27,2026/79,KRW,1,0.03038,0.03078
2026-04-27,2026/79,KWD,1,145.8465,147.7549
2026-04-27,2026/79,KZT,1,0.09711,0.09838
2026-04-27,2026/79,NOK,1,4.8350,4.8675
2026-04-27,2026/79,PKR,1,0.16033,0.16243
2026-04-27,2026/79,QAR,1,12.2582,12.4186
2026-04-27,2026/79,RON,1,10.3020,10.4368
2026-04-27,2026/79,RUB,1,0.59588,0.60368
2026-04-27,2026/79,SAR,1,11.9813,12.0029
2026-04-27,2026/79,SEK,1,4.8646,4.9150
2026-04-27,2026/79,USD,1,44.9393,45.0202
2026-04-28,2026/80,AED,1,12.1746,12.3339
2026-04-28,2026/80,AUD,1,32.1631,32.3729
2026-04-28,2026/80,AZN,1,26.3050,26.6492
2026-04-28,2026/80,CAD,1,32.8902,33.0386
2026-04-28,2026/80,CHF,1,56.8134,57.1782
2026-04-28,2026/80,CNY,1,6.5413,6.6269
2026-04-28,2026/80,DKK,1,7.0257,7.0602
2026-04-28,2026/80,EUR,1,52.5814,52.6761
2026-04-28,2026/80,GBP,1,60.5795,60.8954
2026-04-28,2026/80,JPY,100,28.1172,28.3034
